# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.218418836593627930e+00 7.378533840179443359e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.736062169075012207e-01 1.454119086265563965e+00 1.218418836593627930e+00 7.378533840179443359e+00 1.000000000000000000e+00 1.000000000000000000e+00 6.736062169075012207e-01 1.454119086265563965e+00
1.000000000000000000e+01 2.103182971477508545e-01 1.023738011717796326e-01 1.170174598693847656e+00 6.161475777626037598e-01 2.907308936119079590e-02 3.437913179397583008e+00 2.103182971477508545e-01 1.023738011717796326e-01 1.170174598693847656e+00 6.161475777626037598e-01 2.907308936119079590e-02 3.437913179397583008e+00
2.000000000000000000e+01 5.553685873746871948e-02 4.663034155964851379e-02 1.004973649978637695e+00 4.529434144496917725e-01 6.714746356010437012e-02 3.500234365463256836e+00 5.553685873746871948e-02 4.663034155964851379e-02 1.004973649978637695e+00 4.529434144496917725e-01 6.714746356010437012e-02 3.500234365463256836e+00
3.000000000000000000e+01 1.058281660079956055e-01 2.651717960834503174e-01 7.696879506111145020e-01 3.782977461814880371e-01 8.600574731826782227e-02 2.962491273880004883e+00 1.058281660079956055e-01 2.651717960834503174e-01 7.696879506111145020e-01 3.782977461814880371e-01 8.600574731826782227e-02 2.962491273880004883e+00
4.000000000000000000e+01 2.585878074169158936e-01 4.865158796310424805e-01 5.047473907470703125e-01 2.928426563739776611e-01 1.236615777015686035e-01 2.384221315383911133e+00 2.585878074169158936e-01 4.865158796310424805e-01 5.047473907470703125e-01 2.928426563739776611e-01 1.236615777015686035e-01 2.384221315383911133e+00
5.000000000000000000e+01 2.997156679630279541e-01 8.378398418426513672e-01 3.291033208370208740e-01 2.318340092897415161e-01 2.401117533445358276e-01 1.587963223457336426e+00 2.997156679630279541e-01 8.378398418426513672e-01 3.291033208370208740e-01 2.318340092897415161e-01 2.401117533445358276e-01 1.587963223457336426e+00
6.000000000000000000e+01 2.264636009931564331e-01 1.017765402793884277e+00 2.706961929798126221e-01 2.304907739162445068e-01 3.303149044513702393e-01 1.289438366889953613e+00 2.264636009931564331e-01 1.017765402793884277e+00 2.706961929798126221e-01 2.304907739162445068e-01 3.303149044513702393e-01 1.289438366889953613e+00
7.000000000000000000e+01 2.619202733039855957e-01 5.967612862586975098e-01 2.716135978698730469e-01 2.779384255409240723e-01 2.645942568778991699e-01 1.430609822273254395e+00 2.619202733039855957e-01 5.967612862586975098e-01 2.716135978698730469e-01 2.779384255409240723e-01 2.645942568778991699e-01 1.430609822273254395e+00
8.000000000000000000e+01 2.287600189447402954e-01 5.611826777458190918e-01 2.567158043384552002e-01 3.016803562641143799e-01 3.088934421539306641e-01 1.217944383621215820e+00 2.287600189447402954e-01 5.611826777458190918e-01 2.567158043384552002e-01 3.016803562641143799e-01 3.088934421539306641e-01 1.217944383621215820e+00
9.000000000000000000e+01 2.402995526790618896e-01 5.002419352531433105e-01 2.489647865295410156e-01 3.254859745502471924e-01 3.068180382251739502e-01 1.098492383956909180e+00 2.402995526790618896e-01 5.002419352531433105e-01 2.489647865295410156e-01 3.254859745502471924e-01 3.068180382251739502e-01 1.098492383956909180e+00
